"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C1","0603_C","33.122mm","-27.813mm","33.139mm","-27.813mm","33.909mm","-27.813mm","B","180","100nF (104) 10% 50V"
"C2","0603_C","30.226mm","-26.289mm","30.234mm","-26.289mm","29.464mm","-26.289mm","B","0","100nF (104) 10% 50V"
"C3","0603_C","27.28mm","-27.813mm","27.297mm","-27.813mm","26.527mm","-27.813mm","B","0","100nF (104) 10% 50V"
"C4","0603_C","31.344mm","-46.99mm","31.361mm","-46.99mm","32.131mm","-46.99mm","B","180","100nF (104) 10% 50V"
"C5","0603_C","27.28mm","-33.528mm","27.297mm","-33.528mm","26.527mm","-33.528mm","B","0","100nF (104) 10% 50V"
"C6","0603_C","33.122mm","-33.401mm","33.139mm","-33.401mm","33.909mm","-33.401mm","B","180","100nF (104) 10% 50V"
"C7","0603_C","23.368mm","-12.954mm","23.36mm","-12.954mm","22.59mm","-12.954mm","T","0","22pF (220) 5% 50V"
"C8","CASE-B_3528","28.575mm","-7.671mm","28.575mm","-9.398mm","28.575mm","-9.398mm","T","90","22uF(226) 10% 16V"
"C9","CASE-B_3528","41.529mm","-8.382mm","41.529mm","-6.671mm","41.529mm","-6.671mm","T","270","22uF(226) 10% 16V"
"C10","0603_C","37.592mm","-14.351mm","37.592mm","-14.351mm","37.592mm","-13.581mm","T","270","100nF (104) 10% 50V"
"C11","0603_C","33.782mm","-14.351mm","33.782mm","-14.351mm","33.782mm","-13.581mm","T","270","100nF (104) 10% 50V"
"C12","0603_C","19.456mm","-12.954mm","19.439mm","-12.954mm","20.209mm","-12.954mm","T","180","22pF (220) 5% 50V"
"C13","0603_C","9.525mm","-22.733mm","9.525mm","-22.733mm","9.525mm","-23.503mm","B","90","100nF (104) 10% 50V"
"C14","0603_C","13.208mm","-28.702mm","13.208mm","-28.702mm","13.978mm","-28.702mm","B","180","22pF (220) 5% 50V"
"C15","0603_C","12.827mm","-14.478mm","12.827mm","-14.478mm","12.057mm","-14.478mm","B","0","22pF (220) 5% 50V"
"D1","SOD-123","41.148mm","-16.205mm","41.148mm","-16.215mm","41.148mm","-14.522mm","B","270","5V"
"D2","SOD-123","41.148mm","-22.149mm","41.148mm","-22.14mm","41.148mm","-23.832mm","B","90","5V"
"D3","0603_LED","38.862mm","-44.602mm","38.862mm","-44.585mm","","","T","90","À¶µÆ 0603"
"D4","0603_LED","23.749mm","-3.556mm","23.749mm","-3.548mm","","","T","270","ºìµÆ 0603"
"D5","LL-34","20.574mm","-36.83mm","20.574mm","-36.83mm","20.574mm","-34.938mm","B","90","LL4148"
"F1","0805_F","10.922mm","-9.779mm","10.922mm","-9.779mm","10.922mm","-10.745mm","T","90","TLC-PSMD050"
"J1","SMD-USB-micro_B","14.986mm","-4.394mm","15.001mm","-2.942mm","16.301mm","-5.842mm","T","180","USB-mrico"
"J2","HDR 1X4","14.859mm","-48.641mm","18.669mm","-48.641mm","18.669mm","-48.641mm","T","180","Header 4"
"P1","HDR 2x15 2.54 mm","2.921mm","-25.019mm","1.651mm","-7.239mm","1.651mm","-7.239mm","T","270","Header 15X2"
"P2","HDR 2x15 2.54 mm","47.371mm","-25.019mm","46.101mm","-7.239mm","46.101mm","-7.239mm","T","270","Header 15X2"
"Q1","SOT-23","10.668mm","-36.652mm","11.618mm","-35.56mm","9.718mm","-35.56mm","B","0","S8550"
"Q2","SOT-23","15.951mm","-36.652mm","16.891mm","-35.56mm","14.991mm","-35.56mm","B","0","S8050"
"R1","0603_R","31.344mm","-44.831mm","31.361mm","-44.831mm","32.131mm","-44.831mm","B","180","10K"
"R2","0603_R","27.28mm","-30.607mm","27.297mm","-30.607mm","28.067mm","-30.607mm","B","180","10K"
"R3","0603_R","33.122mm","-30.734mm","33.139mm","-30.734mm","32.369mm","-30.734mm","B","0","10K"
"R4","0603_R","40.894mm","-44.577mm","40.894mm","-44.577mm","40.894mm","-45.347mm","T","90","1K"
"R5","0603_R","22.098mm","-3.556mm","22.098mm","-3.556mm","22.098mm","-2.786mm","T","270","1K"
"R6","0603_R","10.668mm","-33.401mm","10.665mm","-33.401mm","11.435mm","-33.401mm","B","180","1K"
"R7","0603_R","10.668mm","-40.513mm","10.665mm","-40.513mm","11.435mm","-40.513mm","B","180","10K"
"R8","0603_R","15.951mm","-40.513mm","15.938mm","-40.513mm","15.169mm","-40.513mm","B","0","1K"
"R9","0603_R","15.951mm","-33.274mm","15.938mm","-33.274mm","16.708mm","-33.274mm","B","180","1K"
"U1","LQFP64-10x10mm","30.15mm","-30.175mm","30.151mm","-30.191mm","33.901mm","-24.441mm","T","270","STM32F103RCT6"
"U2","SOP-16_150mil","15.85mm","-21.59mm","15.838mm","-21.59mm","13.388mm","-26.035mm","B","0","CH340G"
"VR1","SOT-223","35.179mm","-8.103mm","35.179mm","-8.098mm","32.879mm","-11.098mm","T","270","AMS1117-3.3"
"Y1","HC-49SMD","14.859mm","-18.542mm","14.854mm","-18.546mm","10.404mm","-18.551mm","T","0","XTAL"
"Y2","HC-49SMD","14.986mm","-41.148mm","14.981mm","-41.152mm","10.531mm","-41.157mm","T","0","XTAL"
"S1","SW-SMD-4*4","31.318mm","-45.898mm","31.317mm","-45.902mm","34.567mm","-44.052mm","T","180","RESET"
